10ppm,50ppm,100ppm,250ppm,500ppm
0.226289749,0.164414406,0.152462006,0.129883766,0.115899086
0.226133347,0.164492607,0.152462006,0.129883766,0.115820885
0.225977898,0.164570808,0.152383804,0.129883766,0.115820885
0.225899696,0.164570808,0.152383804,0.129805565,0.115742683
0.225821495,0.164570808,0.152462006,0.129805565,0.115820885
0.225840673,0.164590463,0.152559191,0.129934117,0.115809061
0.225700095,0.164527997,0.152535722,0.129934117,0.115777783
0.225645348,0.164512351,0.152512267,0.129887208,0.115777783
0.225551605,0.164512351,0.152692035,0.129926309,0.115684032
0.225465685,0.164613917,0.152723223,0.130020052,0.115715317
0.225442216,0.164707661,0.152793601,0.130082518,0.115785599
0.225418851,0.164762303,0.152746677,0.130129442,0.115762137
0.225387573,0.164738938,0.152840421,0.130090341,0.115777783
0.22537975,0.16473113,0.15294981,0.13005124,0.115816884
0.225403219,0.164770126,0.152973279,0.130035684,0.115809061
0.225348473,0.164809227,0.152957633,0.13005124,0.115840249
0.225286007,0.164840505,0.153051376,0.130184084,0.115816884
0.225192264,0.164957628,0.153129488,0.130231008,0.115816884
0.225176618,0.16501236,0.15318422,0.130363747,0.115840249
0.22520791,0.16501236,0.153301343,0.130441949,0.115973093
0.225215718,0.165059194,0.153316975,0.130504414,0.115996554
0.225254729,0.165121749,0.153434187,0.130652815,0.115996554
0.225270376,0.165207669,0.153473288,0.130660638,0.116121583
0.225192264,0.165270135,0.15344201,0.130777836,0.116223149
0.225098521,0.165301427,0.15348883,0.130887225,0.116262153
0.225082874,0.16535607,0.153629497,0.130957514,0.116324715
0.225184441,0.165426448,0.15367642,0.13105908,0.116355896
0.225168809,0.165559202,0.153863907,0.131129369,0.116355896
0.225200087,0.165629581,0.153910741,0.131137177,0.116332434
0.225223541,0.165715501,0.153918549,0.131184101,0.116363719
0.225254729,0.165848255,0.154082581,0.13134031,0.116363719
0.225254729,0.165973291,0.154168516,0.131363779,0.11640282
0.225262552,0.166074857,0.154254541,0.131426245,0.116527751
0.225246906,0.166160777,0.154379472,0.131465346,0.116605952
0.225239187,0.1661686,0.154465392,0.131504446,0.116660595
0.225239187,0.166231066,0.154551417,0.131590366,0.116707519
0.225262552,0.166301444,0.154527947,0.13168411,0.116754346
0.225286007,0.166379556,0.154512316,0.131770045,0.1167778
0.225301653,0.16644983,0.15455924,0.131809145,0.116887189
0.225309476,0.166582689,0.154723272,0.131934077,0.116957478
0.22529383,0.166676432,0.154879481,0.131934077,0.116973117
0.225286007,0.166746721,0.154926404,0.132004455,0.116965294
0.225278184,0.166856095,0.154996678,0.131996632,0.116926193
0.225286007,0.166910842,0.155035779,0.13211374,0.117043398
0.22529383,0.166981131,0.155168533,0.132348165,0.117059045
0.22529383,0.167035773,0.155238912,0.132488832,0.117152788
0.225301653,0.167106152,0.155238912,0.132738784,0.11717625
0.225309476,0.167160794,0.155317023,0.132894993,0.117191888
0.225309476,0.167246729,0.155449778,0.132973194,0.117238715
0.225325108,0.167324826,0.155527979,0.13298884,0.117293455
0.225262552,0.167434216,0.155582622,0.133059129,0.117308997
0.225262552,0.167551428,0.155613899,0.133137226,0.117395021
0.225246906,0.167637348,0.155715466,0.133121595,0.117519952
0.225246906,0.167809203,0.15584822,0.133230969,0.117613696
0.225278184,0.167934224,0.15599671,0.133340359,0.117559053
0.225262552,0.168082714,0.156160742,0.133426294,0.117613696
0.225239187,0.168137357,0.156254485,0.133676335,0.117621519
0.225239187,0.16814518,0.156301409,0.133770093,0.11760588
0.225278184,0.16818428,0.156395152,0.133832559,0.117715262
0.225309476,0.168332681,0.156520173,0.133918479,0.117793463
0.225348473,0.168465525,0.156559184,0.133980945,0.117863752
0.22537975,0.168520167,0.156699851,0.134145066,0.117965318
0.225395396,0.168590456,0.156777963,0.134277821,0.118090346
0.225426674,0.168629557,0.156871706,0.134371564,0.118144989
0.225411043,0.168777943,0.156918526,0.134418488,0.118160628
0.225395396,0.168895155,0.157043561,0.134488776,0.118293382
0.225403219,0.168996722,0.157106116,0.1345357,0.11836376
0.225434497,0.1690671,0.157246694,0.134605989,0.118348122
0.225465685,0.169199854,0.157277972,0.134598166,0.118309021
0.225512609,0.169270143,0.157356068,0.134590343,0.118394949
0.225559428,0.169277951,0.157418534,0.13458252,0.118465327
0.225598529,0.169371709,0.157551393,0.134590343,0.118527792
0.225629807,0.169535831,0.157621667,0.134605989,0.118582442
0.225660995,0.169715509,0.157699779,0.134668455,0.118543439
0.225676641,0.169801429,0.157793626,0.134738833,0.118559077
0.225684449,0.169863895,0.157856092,0.134785652,0.118645005
0.225715742,0.169910818,0.157988936,0.134832576,0.118746571
0.225746915,0.169996738,0.158176422,0.134918496,0.118855953
0.225770384,0.170137405,0.158301353,0.135121629,0.118910603
0.225778207,0.170371726,0.158363923,0.135207564,0.118973069
0.225801662,0.170551404,0.158395097,0.135191917,0.119035624
0.22587195,0.170668602,0.158426389,0.135184094,0.119027808
0.225918874,0.170723349,0.158481121,0.135231018,0.119004346
0.225965694,0.170879558,0.158527955,0.135387227,0.119082451
0.226028249,0.171028048,0.158652976,0.135504439,0.119184017
0.226043805,0.17116861,0.158754542,0.135566905,0.119269945
0.226043805,0.171207711,0.158848286,0.135660648,0.119332507
0.226075083,0.171317101,0.159035787,0.13562946,0.119449712
0.226114184,0.171317101,0.159051418,0.135668471,0.119488716
0.226129726,0.171278,0.159027964,0.135746583,0.11953564
0.226168826,0.171262369,0.159145162,0.135832593,0.11953564
0.226231292,0.171363935,0.159293562,0.13584815,0.119598106
0.226254746,0.171473309,0.159465417,0.135895059,0.119621567
0.226270393,0.171442032,0.159442052,0.135957524,0.119637206
0.22630167,0.17151241,0.159551427,0.136020094,0.119629383
0.226340681,0.171660811,0.159746751,0.13612166,0.119621567
0.226387605,0.171731099,0.159762293,0.136285692,0.119613744
0.226434425,0.171801478,0.159770116,0.136418536,0.119668387
0.226489171,0.171887398,0.15990296,0.136488825,0.119785599
0.226543814,0.172082707,0.159926414,0.136543468,0.119809054
0.226559445,0.172246739,0.15998888,0.136715412,0.119832516
0.226637557,0.172371775,0.160129547,0.1367466,0.119848154
0.226637557,0.172434241,0.16013737,0.136715412,0.119934082
0.226676658,0.172481164,0.16018419,0.136730954,0.119988732
0.226715758,0.172535807,0.160301402,0.13689509,0.120012186
0.22675477,0.172645196,0.160559177,0.137059122,0.120129399
0.226762578,0.172809228,0.160621747,0.137137219,0.120184042
0.226817235,0.172895148,0.160582647,0.137223154,0.12025433
0.22687979,0.17288743,0.160598278,0.137355998,0.120324709
0.226918802,0.173012361,0.160652921,0.137309074,0.120394997
0.226950079,0.173137382,0.160832688,0.137387276,0.120441914
0.227012545,0.173254594,0.161129475,0.137535676,0.120488741
0.227051646,0.173371792,0.161262318,0.137598231,0.120566845
0.227090746,0.173449904,0.161371708,0.137582585,0.120559029
0.227129743,0.17355147,0.161457643,0.13762942,0.120559029
0.227161035,0.173621759,0.161613941,0.137746617,0.120629407
0.227215677,0.173653036,0.161621675,0.137770087,0.120707512
0.227278233,0.173809245,0.161590487,0.137832552,0.120777801
0.227317244,0.173887357,0.161606118,0.137840375,0.120824717
0.227340698,0.174035832,0.161715508,0.137816906,0.120879367
0.227371976,0.174113944,0.16177015,0.137902841,0.120887183
0.227410987,0.17417641,0.161816984,0.138066962,0.120895006
0.227465734,0.17417641,0.161918551,0.138145074,0.120910645
0.227520376,0.174246788,0.161965474,0.138199717,0.120957471
0.2275673,0.174371719,0.162082672,0.138309106,0.120988749
0.227582932,0.174496755,0.162098318,0.138402849,0.120988749
0.22765322,0.174574852,0.162152961,0.138566971,0.12097311
0.227715686,0.174637422,0.162277982,0.138582513,0.121074677
0.227715686,0.174746796,0.162363917,0.138707548,0.121074677
0.227746964,0.174777985,0.162418559,0.13872318,0.121043399
0.227778241,0.174817085,0.16249676,0.138746649,0.121113777
0.227864176,0.174918652,0.162567049,0.138731003,0.121191882
0.227926642,0.175004587,0.16269207,0.138777837,0.121238708
0.227934465,0.175106153,0.162707612,0.138848215,0.121215343
0.228004739,0.175223351,0.162840471,0.138840392,0.121277809
0.228036031,0.175285816,0.162910745,0.13887167,0.121340275
0.228098497,0.175317094,0.162918568,0.138910681,0.12137156
0.228293806,0.175371751,0.162942037,0.138988778,0.121379375
0.228325084,0.175465494,0.163027957,0.139270023,0.121387199
0.228356361,0.175629616,0.163129523,0.139316946,0.121441841
0.228418827,0.175770193,0.16323109,0.139379412,0.121488765
0.228450105,0.175824925,0.163340479,0.139426336,0.121473126
0.228520393,0.17587176,0.163402945,0.13949661,0.121582508
0.228614137,0.175903037,0.163543612,0.139605999,0.121777825
0.22866106,0.17599678,0.1634655,0.139590368,0.121902846
0.228746995,0.176067069,0.163574889,0.139598176,0.121973135
0.228825092,0.176160812,0.163676456,0.139652923,0.1220356
0.228879735,0.176223382,0.163653001,0.139684111,0.122074701
0.228903204,0.176340491,0.163832664,0.139723212,0.122113705
0.228965759,0.176504612,0.1639577,0.139887244,0.12214499
0.229051694,0.176637366,0.163981065,0.140059099,0.122246556
0.229051694,0.176715568,0.163965508,0.14022322,0.12227001
0.229075059,0.176809311,0.163981065,0.140293509,0.122285657
0.229145437,0.176824853,0.163988873,0.14030914,0.122293472
0.229301646,0.176926419,0.16409044,0.140363798,0.122316837
0.229403213,0.177035809,0.164285764,0.140496641,0.122355938
0.229473501,0.17700462,0.164317042,0.140551284,0.122363761
0.229512602,0.177067086,0.164395139,0.140684128,0.122363761
0.229504779,0.177215487,0.164488897,0.140770063,0.122371577
0.229536057,0.177403077,0.16458264,0.140832618,0.122395039
0.229567245,0.177504539,0.164699838,0.140809163,0.122465327
0.229621992,0.177598387,0.164660737,0.140816972,0.122535609
0.229676634,0.177660853,0.164777949,0.140777871,0.122644998
0.2297782,0.177762419,0.164918616,0.140770063,0.122691922
0.22986412,0.177863985,0.164988905,0.140793517,0.122777842
0.230012611,0.177973375,0.165106103,0.140809163,0.122855954
0.229996964,0.178059295,0.165207669,0.140879437,0.122887231
0.230082899,0.178215504,0.165199861,0.140918538,0.12291842
0.230090722,0.178207681,0.165223315,0.140934095,0.122996524
0.230200097,0.178223327,0.165379524,0.140941903,0.12300434
0.230309486,0.178387359,0.165481091,0.141020104,0.123051263
0.230387598,0.178496748,0.165488914,0.140981004,0.12309809
0.230442241,0.178504571,0.165442094,0.14099665,0.123090267
0.230512619,0.178598315,0.165652946,0.141090393,0.123051263
0.230629832,0.178676516,0.165731147,0.141191959,0.123027802
0.230629832,0.178746805,0.165832713,0.141395092,0.123051263
0.230707929,0.178864002,0.165848255,0.141512305,0.123121552
0.230825141,0.17900458,0.16593419,0.141598225,0.12315283
0.230856329,0.179082677,0.1660202,0.141715437,0.123199657
0.231020451,0.179199889,0.1661295,0.141887292,0.123215295
0.231051639,0.179254636,0.16627799,0.141957566,0.123238757
0.231035993,0.179199889,0.166426376,0.142098233,0.123348139
0.231043816,0.179223344,0.166488931,0.14200449,0.123473167
0.231090739,0.179317102,0.166559219,0.141918465,0.123512171
0.231239125,0.179395199,0.166676432,0.141926289,0.123535633
0.231301695,0.179559335,0.166754529,0.142020032,0.123605922
0.231371984,0.179684266,0.166613966,0.142106056,0.123637199
0.231411085,0.179754645,0.166668609,0.142207623,0.123707488
0.231543824,0.179832742,0.166801453,0.142246634,0.12377777
0.231684491,0.180020243,0.166848287,0.142340377,0.123762228
0.231786057,0.180106163,0.166863918,0.142418489,0.123738766
0.231825069,0.180137441,0.166981131,0.142465398,0.123770051
0.231973559,0.180239007,0.167098328,0.142504409,0.123855971
0.232067302,0.180301473,0.167152986,0.142574787,0.123910621
0.232168868,0.180371761,0.167231083,0.142613798,0.123949721
0.232215688,0.180449873,0.167238906,0.142723188,0.12396536
