10ppm,50ppm,100ppm,250ppm,500ppm
0.164180756,0.120715335,0.12332058,0.112539291,0.097227097
0.165351868,0.119738773,0.124582484,0.108476639,0.094023705
0.164180756,0.120355897,0.125332549,0.113008499,0.09433651
0.163946152,0.120035648,0.125723168,0.114902787,0.094414711
0.163633347,0.120230965,0.125035673,0.109598063,0.094180107
0.164277941,0.119879343,0.137207612,0.109730914,0.094379239
0.16318427,0.11913719,0.124246597,0.112652779,0.094816782
0.162793636,0.119004346,0.123168468,0.111019991,0.095152669
0.162160784,0.119238757,0.126582533,0.11002779,0.094012074
0.163223267,0.119684033,0.125855923,0.105644897,0.09373083
0.162957668,0.119441889,0.127707481,0.109324649,0.093566798
0.162246704,0.119184017,0.127387241,0.109238721,0.093488596
0.161527917,0.119566821,0.127973184,0.10853558,0.093590163
0.161348253,0.120699696,0.127207562,0.109301187,0.094551183
0.161567017,0.120590307,0.126684099,0.108683966,0.094426155
0.161121756,0.119840339,0.126059055,0.109168433,0.09353552
0.161004543,0.11991062,0.126184091,0.109074593,0.095043376
0.160637379,0.120605946,0.126855955,0.109785557,0.094629288
0.161723241,0.120652772,0.127441883,0.109418392,0.094199561
0.16099672,0.119941905,0.130160615,0.109598063,0.095410541
0.160645112,0.120207503,0.128348157,0.110785581,0.094277672
0.160652921,0.12083254,0.129121587,0.107980922,0.094301127
0.160262302,0.1207387,0.127168462,0.109598063,0.094316773
0.160777956,0.119754411,0.127137184,0.109098054,0.094223022
0.160277948,0.120769978,0.128191859,0.110058978,0.093144894
0.160981089,0.120473102,0.127480984,0.109996513,0.093879223
0.160926446,0.119855881,0.127105996,0.110058978,0.094363689
0.160590455,0.11942625,0.127105996,0.110746481,0.094191745
0.160684213,0.119059086,0.127355963,0.110699654,0.094738677
0.160246655,0.119238757,0.127934083,0.111051179,0.094183922
0.160559177,0.118809037,0.127184108,0.10939493,0.093355849
0.159918591,0.118527792,0.127145007,0.109519958,0.093933962
0.15966855,0.118449688,0.127309039,0.109582424,0.093519881
0.160363868,0.118996523,0.127332494,0.108941846,0.087496474
0.159856036,0.118918419,0.127519995,0.10844183,0.080715179
0.159551427,0.118668459,0.128184125,0.109785557,0.101707458
0.160535812,0.118637182,0.128723145,0.111105919,0.098949626
0.161379531,0.119059086,0.127941892,0.107144929,0.095730878
0.160777956,0.119230941,0.127098188,0.110199645,0.093871497
0.161028013,0.11938715,0.126746565,0.110293388,0.093996428
0.16009827,0.11938715,0.126004413,0.110621549,0.092754267
0.159465417,0.11909809,0.127395064,0.110340312,0.092785552
0.158801362,0.118699647,0.127871618,0.110137179,0.092832379
0.158902928,0.117863752,0.128793433,0.110488705,0.092769913
0.159426406,0.117770009,0.129785642,0.109965228,0.092457391
0.15917635,0.117754363,0.129871562,0.112238698,0.091683961
0.160152912,0.120621584,0.12979345,0.110090256,0.092441753
0.160902977,0.123082541,0.128965378,0.110129356,0.092621423
0.160356045,0.125902846,0.129379377,0.111887172,0.092246436
0.159277916,0.129113778,0.130191907,0.109988689,0.09252768
0.159340486,0.133059129,0.129004389,0.10973873,0.09324646
0.159191996,0.133645058,0.129254445,0.109551243,0.092340186
0.158934221,0.133918479,0.128113747,0.110035613,0.093183994
0.158332631,0.134723186,0.12726222,0.109746553,0.093082428
0.158317,0.136590391,0.127871618,0.109168433,0.093058966
0.158496663,0.137254432,0.129418477,0.109238721,0.092808917
0.158184245,0.137254432,0.129488751,0.109488681,0.093379311
0.158527955,0.137457564,0.128973112,0.108348086,0.092793368
0.158371732,0.138082609,0.128543481,0.106090263,0.094043352
0.159152985,0.139621645,0.128574759,0.107144929,0.088894844
0.159348294,0.139059171,0.128066927,0.110324673,0.090918355
0.158598229,0.13955918,0.127894983,0.111051179,0.092598058
